SpecimenID,Tree_name,Family,Order,Total_weight,Standard_length,Max_body_depth,Max_fish_width,Head_depth,Lower_jaw_length,Mouth_width,Min_caudalpeduncle_depth,Min_caudalpeduncle_width
148624,Myoxocephalus_scorpius,Cottidae,Scorpaeniformes,356.4,242.55,62.97,64.52,35.43,57.29,55.48,14.52,7.24
70834,Myoxocephalus_stelleri,Cottidae,Scorpaeniformes,120.2,151.5,42.2,50.7,NA,30.6,34.9,11.4,5.3
144237,Myoxocephalus_stelleri,Cottidae,Scorpaeniformes,217,212.2,47.1,58.8,33.6,39.9,38.8,14.8,5.2
33920,Myoxocephalus_stelleri,Cottidae,Scorpaeniformes,257.3,224.8,58.5,62,42.8,43.2,48,13,6.1
318514,Myrichthys_breviceps,Ophichthidae,Anguilliformes,40.1,513,12.4,10.3,8.1,11.7,8.8,1.7,1
274250,Myrichthys_breviceps,Ophichthidae,Anguilliformes,64,517,15.5,12.2,9.1,12,10.2,2.5,1
349072,Myrichthys_breviceps,Ophichthidae,Anguilliformes,175.4,789,18.2,15.5,13.5,15.4,13.1,2.1,1.5
314273,Myrichthys_maculosus,Ophichthidae,Anguilliformes,136.7,806.1,19.23,16.96,13.82,17.5,12.25,4.07,2.57
342255,Myrichthys_maculosus,Ophichthidae,Anguilliformes,123.9,861.4,19.49,16.82,13.41,19.6,13.62,3.93,2.4
314279,Myrichthys_maculosus,Ophichthidae,Anguilliformes,229.7,705.6,23.5,22.17,17.78,21.98,15.62,5.66,2.56
406181,Myrichthys_ocellatus,Ophichthidae,Anguilliformes,21.7,420,10.2,8.6,6.9,11.4,7.2,1.9,1.1
388332,Myrichthys_ocellatus,Ophichthidae,Anguilliformes,18.1,380,11.1,7.4,6.5,10.9,6.3,1.5,1
408552,Myrichthys_ocellatus,Ophichthidae,Anguilliformes,236,790,23,18.8,13,23.3,14.5,2.3,1.3
408516,Myripristis_amaena,Holocentridae,Beryciformes,51.3,108.8,48.8,24.5,29.5,23.4,12,10.9,2
202933,Myripristis_amaena,Holocentridae,Beryciformes,67.63,123.7,50.7,27.8,30.5,24.9,12.8,12.2,2.3
419853,Myripristis_amaena,Holocentridae,Beryciformes,73.85,128,51.6,25.9,32.3,26.6,13.5,11.9,2.3
367454,Myripristis_berndti,Holocentridae,Beryciformes,53.77,109.59,49.73,26.99,32.76,22.83,NA,11.26,3
380557,Myripristis_berndti,Holocentridae,Beryciformes,83.62,124.45,51.17,29.81,33.78,30.77,15.5,12.39,4.65
324227,Myripristis_berndti,Holocentridae,Beryciformes,68.7,121.6,52.9,29.21,31.02,30.84,13.4,11.95,4.43
437866,Myripristis_botche,Holocentridae,Beryciformes,70.1,116.1,55.6,25.2,37,22.7,12,12.2,2.3
138822,Myripristis_botche,Holocentridae,Beryciformes,140.1,160,66.5,30.6,38.3,26.1,14,14.5,3.8
437868,Myripristis_botche,Holocentridae,Beryciformes,224.3,165,78,36.4,51,31.5,18.4,17.3,4.5
295579,Myripristis_chryseres,Holocentridae,Beryciformes,36.62,98.78,42.33,22.53,26.78,19.79,8.68,9.99,3.91
295650,Myripristis_chryseres,Holocentridae,Beryciformes,41.83,98.87,44.49,23.3,26.36,21.41,6.18,10.57,3.66
151645,Myripristis_chryseres,Holocentridae,Beryciformes,95.01,137,56.4,26.37,34.29,25.81,12.25,14.9,5.4
192449,Myripristis_hexagona,Holocentridae,Beryciformes,79.6,122.4,54.9,27.9,34.3,28.2,13.8,12,2.8
192446,Myripristis_hexagona,Holocentridae,Beryciformes,88.3,127.9,57.1,26,33.5,25.2,11.9,13.2,3.8
192497,Myripristis_hexagona,Holocentridae,Beryciformes,123,147.7,63.8,30,40.2,35.7,12.9,15.6,4.8
159897,Myripristis_jacobus,Holocentridae,Beryciformes,42.36,115.4,44.8,23.2,31.8,22.8,11.5,9,1.6
159896,Myripristis_jacobus,Holocentridae,Beryciformes,69.55,123.3,52.7,31,34.1,27.7,14,10.5,1.8
33263,Myripristis_jacobus,Holocentridae,Beryciformes,75.66,133.4,53.9,25.5,35.4,26.7,12.9,13.1,2.1
146936,Myripristis_kuntee,Holocentridae,Beryciformes,34.47,96.5,47.27,20.98,27.58,18.02,9.23,8.87,3.61
189585,Myripristis_kuntee,Holocentridae,Beryciformes,52.75,117.47,48.31,22.93,30.62,23.69,11.57,10.55,4.48
189559,Myripristis_kuntee,Holocentridae,Beryciformes,63.79,118.5,52.51,25.04,32.21,24.33,6.8,10.88,4.89
322010,Myripristis_leiognathus,Holocentridae,Beryciformes,42.81,103.7,36.9,23.1,24.3,20.6,8.4,9.7,1.6
50035,Myripristis_leiognathus,Holocentridae,Beryciformes,72.65,128.4,47,27.9,30.7,27.7,11.9,11.8,2.3
322011,Myripristis_leiognathus,Holocentridae,Beryciformes,89.15,140.5,55,29.7,34.4,30.5,12.5,12,2.4
189872,Myripristis_murdjan,Holocentridae,Beryciformes,59.6,113.6,50.2,24.3,28.5,22.9,10.7,12.2,2.3
387371,Myripristis_murdjan,Holocentridae,Beryciformes,75.6,121.5,53.3,27.4,30.7,24,NA,13.4,3
189864,Myripristis_murdjan,Holocentridae,Beryciformes,74.6,125.3,54.5,27.2,32.1,24.3,13.6,13.4,3.5
387424,Myripristis_pralinia,Holocentridae,Beryciformes,50.92,113.6,48.32,23.07,31.45,24.13,7.84,11.44,3.3
424897,Myripristis_pralinia,Holocentridae,Beryciformes,56.36,111.94,49.97,26,32.81,24.91,11.03,11.89,3.9
362741,Myripristis_pralinia,Holocentridae,Beryciformes,96.92,140.81,61.35,29.71,37.91,24.83,7.77,13.98,4.72
334005,Myripristis_randalli,Holocentridae,Beryciformes,44.5,105.12,44.08,25.67,30.17,23.7,11.06,10.03,2.06
335223,Myripristis_randalli,Holocentridae,Beryciformes,42.6,104.45,44.12,23.48,30.17,21.94,9.12,9.35,2.44
334638,Myripristis_randalli,Holocentridae,Beryciformes,51.5,108.62,47.03,27.83,32.61,24.32,12.5,10.09,2.59
424895,Myripristis_violacea,Holocentridae,Beryciformes,46.9,103.2,47.8,21.4,27.6,19.7,11.2,11,2.8
198328,Myripristis_violacea,Holocentridae,Beryciformes,59.6,111.4,50.8,24.4,30.5,21.4,10.5,11.3,2.7
189435,Myripristis_violacea,Holocentridae,Beryciformes,91.1,130.8,58,27.2,33.3,23.3,12.8,13.6,3.1
